t,nocache_prefix_smooth_ms,cache_prefix_smooth_ms,nocache_postfix_smooth_ms,cache_postfix_smooth_ms
125,8.0411,8.9274,7.4162,8.3189
126,8.0577,8.9090,7.4403,8.3916
127,8.0817,8.9296,7.4706,8.4058
128,8.1124,8.9791,7.4925,8.4700
129,8.1201,9.0157,7.5213,8.5201
130,8.1528,9.0338,7.5615,8.5664
131,8.1848,9.1100,7.5784,8.5971
132,8.2098,9.1304,7.6392,8.6084
133,8.2523,9.1539,7.6450,8.6267
134,8.2786,9.1459,7.6622,8.6456
135,8.3166,9.1681,7.6797,8.6193
136,8.3348,9.1665,7.7063,8.6435
137,8.3481,9.1493,7.7330,8.6644
138,8.3614,9.2578,7.7516,8.7051
139,8.3617,9.2742,7.7800,8.7332
140,8.3957,9.2980,7.7913,8.7052
141,8.4255,9.3350,7.8071,8.7182
142,8.4479,9.3182,7.8631,8.7111
143,8.4753,9.3463,7.9015,8.6840
144,8.5008,9.3529,7.9512,8.6813
145,8.5171,9.3740,8.0065,8.6699
146,8.5304,9.4081,8.0384,8.6693
147,8.5479,9.4355,8.0524,8.6245
148,8.5738,9.4751,8.0660,8.6351
149,8.5949,9.4643,8.0811,8.6486
150,8.6226,9.4846,8.0933,8.6722
151,8.6278,9.5308,8.1055,8.6931
152,8.6263,9.5203,8.1292,8.6875
153,8.6506,9.5587,8.1116,8.6968
154,8.6619,9.5839,8.1339,8.7211
155,8.6759,9.6072,8.1560,8.7300
156,8.6965,9.6219,8.1789,8.7992
157,8.7405,9.6527,8.2202,8.7997
158,8.7697,9.6606,8.2604,8.7867
159,8.7984,9.6693,8.2848,8.8017
160,8.8193,9.6812,8.3161,8.8191
161,8.8409,9.7050,8.3396,8.8821
162,8.8732,9.7064,8.3623,8.8792
163,8.8951,9.7236,8.3611,8.9500
164,8.9167,9.7485,8.3829,8.9892
165,8.9590,9.7785,8.3765,9.0068
166,8.9900,9.8104,8.3970,9.0629
167,9.0160,9.8170,8.4024,9.1032
168,9.0445,9.8384,8.4269,9.1309
169,9.0453,9.8255,8.4567,9.1414
170,9.0765,9.8385,8.4829,9.1228
171,9.0996,9.8308,8.5316,9.1461
172,9.1386,9.8228,8.5734,9.1534
173,9.2015,9.8152,8.6114,9.1640
174,9.2291,9.8280,8.6655,9.2112
175,9.2606,9.8089,8.7260,9.2320
176,9.3039,9.8396,8.7793,9.2252
177,9.3422,9.8675,8.8475,9.1957
178,9.3709,9.8751,8.9068,9.2061
179,9.4109,9.9069,8.9573,9.2178
180,9.4725,9.9171,9.0212,9.2134
181,9.5302,9.9489,9.0706,9.2088
182,9.5677,9.9671,9.1323,9.2169
183,9.6013,9.9729,9.1727,9.2395
184,9.6499,10.0096,9.2096,9.2171
185,9.7043,10.0315,9.2694,9.2046
186,9.7426,10.0436,9.3148,9.2211
187,9.7892,10.0485,9.3125,9.2046
188,9.8318,10.0758,9.3520,9.2155
189,9.8830,10.1087,9.3822,9.2250
190,9.9545,10.1293,9.4004,9.2608
191,9.9993,10.1387,9.4477,9.2985
192,10.0393,10.1862,9.4729,9.2966
193,10.0828,10.2169,9.5064,9.2985
194,10.1006,10.2554,9.5310,9.3161
195,10.1459,10.2642,9.5488,9.2943
196,10.1864,10.2979,9.5761,9.3131
197,10.2274,10.3166,9.5694,9.3287
